dataset,k,mean,std
CIFAR_vae,15,26.968480000000003,0.6012560670644562
CIFAR_vae,5,16.009460000000004,0.6190555762325758
CIFAR_simclr_pca,10,75.79140000000002,1.9226569053675653
CIFAR_simclr_pca,20,76.16640000000004,1.7049237075261898
CIFAR_simclr_pca,5,75.77942000000004,1.510922877922729
CIFAR_vae,50,25.58842,0.4970859157899841
CIFAR_simclr_pca,15,76.05774000000002,1.694743117628
CIFAR_vae,25,26.64568000000001,0.8179372290751108
CIFAR_vae,20,26.6828,0.9914277838072982
CIFAR_simclr_pca,25,76.13944,1.498647904552028
CIFAR_simclr_pca,50,76.20562000000001,1.3100031828167071
CIFAR_vae,10,24.851440000000004,0.3772932926608545
CIFAR_simclr_pca,100,76.11547999999999,1.6883773243842597
CIFAR_vae,100,24.86776000000001,0.3104880849712123
CIFAR_vae,150,24.887920000000005,0.3699127846977287
CIFAR_simclr_pca,150,77.29660000000001,0.868129045939623
CIFAR_vae,300,25.40546000000001,0.3277730004103142
CIFAR_simclr_pca,200,77.30314000000001,0.6705760077889924
CIFAR_vae,250,25.382060000000006,0.2750874175107375
CIFAR_simclr_pca,250,77.23629999999999,0.6580928904989426
CIFAR_vae,200,25.01018000000001,0.4211820878326985
FMNIST_vae,25,55.4776,1.9886083025373085
CIFAR_simclr_pca,300,77.31858000000001,0.6409067626291973
FMNIST_vae,5,54.16903333333331,2.1918631433740807
CIFAR_simclr,5,73.77374,2.091669105974673
FMNIST_vae,20,55.14556666666665,1.838536559063308
FMNIST_vae,10,55.01733333333333,1.7577316298581585
FMNIST_vae,15,54.92521666666667,1.9401331664149035
FMNIST_vae,50,55.5928,2.181741791217874
FMNIST_vae,100,56.01631666666668,2.2727849479157727
CIFAR_simclr_pca,500,77.08940000000001,0.700970207871369
FMNIST_simclr_pca,15,58.158583333333326,2.980874072195488
CIFAR_simclr,10,76.42352000000001,1.5280646271170804
CIFAR_simclr_pca,400,77.17314,0.6165338926677765
CIFAR_simclr,20,76.31555999999998,2.0451544621718467
CIFAR_simclr,100,76.51824000000002,0.3513101918662354
CIFAR_simclr,25,76.66008,0.9896916332317311
FMNIST_vae,150,57.58518333333336,2.3447492967458907
FMNIST_simclr_pca,5,57.46718333333334,2.5031495054048465
CIFAR_simclr_pca,450,77.00468000000002,0.754703833542428
CIFAR_simclr,15,77.04058,1.1234995577042366
FMNIST_simclr_pca,20,57.51601666666669,3.3749242240734727
CIFAR_vae,450,25.343540000000008,0.2291221464193238
FMNIST_simclr_pca,25,58.09286666666671,3.204801813244827
FMNIST_simclr_pca,10,58.63453333333333,3.0948685678556345
CIFAR_vae,350,25.448,0.2796222560180185
CIFAR_vae,400,25.40842000000001,0.2613446650295239
CIFAR_simclr_pca,350,77.11998000000001,0.4996098271590928
CIFAR_simclr,50,76.47142000000002,1.3155775102420024
CIFAR_vae,500,25.3017,0.2087673055791732
FMNIST_vae,200,58.26488333333334,2.757404054303045
FMNIST_simclr_pca,50,58.17231666666668,3.585537493694197
FMNIST_simclr_pca,100,60.91896666666669,3.901287456060475
FMNIST_vae,300,57.87421666666664,2.034240268773551
FMNIST_vae,250,57.97858333333336,1.9800962091460976
FMNIST_simclr_pca,150,61.93126666666669,2.673540122316125
MNIST_vae,20,92.2423666666667,6.516778940105975
MNIST_vae,25,91.50283333333331,6.734705791135479
MNIST_vae,10,92.64501666666666,6.417210381857277
MNIST_vae,5,92.81343333333332,6.354914081758462
MNIST_vae,15,91.77939999999998,6.749296286716196
CIFAR_simclr,150,75.90520000000001,1.936891396756225
FMNIST_simclr_pca,200,62.81758333333333,2.4756771384352683
FMNIST_vae,350,58.54465000000002,2.1433066183122307
MNIST_vae,50,89.40493333333336,6.930363376295444
MNIST_vae,100,88.58508333333334,6.772588551568209
MNIST_simclr_pca,5,90.35033333333332,6.891485906699996
FMNIST_vae,450,59.7729666666667,2.51971421806933
MNIST_simclr_pca,10,89.06516666666667,7.29962486736578
FMNIST_simclr_pca,250,62.98923333333332,2.2467347228149968
MNIST_simclr_pca,15,88.77171666666668,6.924335063738309
FMNIST_vae,500,60.409,2.7143982390622914
MNIST_simclr_pca,25,89.47688333333333,7.0883625111520745
FMNIST_simclr_pca,300,62.824883333333325,2.557283004816397
FMNIST_vae,400,59.68461666666667,1.8749420470654807
MNIST_simclr_pca,20,89.58246666666668,6.794630569235575
MNIST_vae,150,88.38338333333333,6.899914996690906
MNIST_simclr_pca,50,89.81784999999996,6.898222824107129
CIFAR_simclr,250,77.39675999999997,0.5766160972747488
FMNIST_simclr,20,58.09046666666668,3.238641907869317
MNIST_vae,200,87.29586666666664,6.81235335401633
MNIST_simclr_pca,100,88.78053333333334,6.978095099424379
MNIST_vae,250,86.70576666666668,7.078798716545082
MNIST_vae,300,86.33586666666667,6.646931641848209
FMNIST_simclr,15,58.08556666666668,3.187980594433191
FMNIST_simclr,50,59.59369999999999,3.476798459753147
MNIST_simclr_pca,150,89.21665000000004,7.0579198237707885
FMNIST_simclr,25,58.02338333333335,2.7244805871904383
FMNIST_simclr,10,57.7934,3.0889228335464995
FMNIST_simclr_pca,450,62.54959999999999,2.614050517443018
FMNIST_simclr_pca,350,62.82113333333333,2.830427603694022
FMNIST_simclr,5,58.2075,2.3118538105871607
FMNIST_raw,15,56.37904999999998,1.4368702007856258
CIFAR_simclr,300,77.35327999999998,0.6346647899131916
FMNIST_raw,50,54.39211666666667,2.002400311239844
FMNIST_raw,5,56.82126666666668,1.723139851983857
MNIST_simclr_pca,200,87.4340666666667,6.902004162978227
FMNIST_simclr,100,62.22218333333331,3.533541038738151
MNIST_vae,350,87.89689999999997,6.600666560820812
FMNIST_raw,10,57.02346666666667,1.549229320007473
FMNIST_simclr,150,63.14408333333332,2.7719003110095946
FMNIST_simclr_pca,500,62.47768333333335,2.464330155274965
FMNIST_simclr_pca,400,62.97748333333336,1.952903784819145
FMNIST_raw,100,54.70368333333335,2.086905171003451
MNIST_simclr,15,89.78901666666667,7.218082318109854
MNIST_simclr_pca,250,89.41770000000001,7.070103949233999
MNIST_simclr_pca,300,88.91290000000005,7.055109997941404
CIFAR_simclr,200,76.53449999999998,1.1490359024201573
FMNIST_raw,20,55.19126666666668,2.387959827796412
FMNIST_raw,25,54.98181666666667,2.249870080985373
MNIST_simclr,20,91.85098333333332,6.941222812698197
CIFAR_simclr,350,77.39516,0.6662151307228315
CIFAR_simclr,400,77.29256000000001,1.1589305442797888
FMNIST_simclr,200,62.75438333333332,2.686744142709505
MNIST_vae,500,87.1499666666667,6.651170778603599
FMNIST_simclr,250,63.49948333333334,2.149083819292695
MNIST_simclr,25,91.69091666666668,7.00352710712507
MNIST_simclr,10,90.71165,7.199379144945149
FMNIST_raw,150,53.86731666666664,1.68242182700543
CIFAR_simclr,450,77.35770000000001,0.6881080708520413
MNIST_simclr_pca,400,90.4960833333334,6.478388827041196
MNIST_simclr,50,89.66416666666666,7.291274155861725
MNIST_simclr,5,92.49741666666672,6.572758225771313
MNIST_simclr_pca,350,87.86178333333336,6.981259221468578
MNIST_simclr_pca,450,95.19913333333332,3.107994456933959
MNIST_simclr,100,89.44866666666667,7.290731143449237
CIFAR_simclr,500,77.2473,0.673748049602695
MNIST_simclr_pca,500,95.87086666666669,1.0397475919637362
FMNIST_simclr,300,62.988616666666665,2.5615432604467734
MNIST_simclr,150,90.36663333333334,7.267993781835165
MNIST_vae,400,87.83781666666665,6.63198826394112
FMNIST_simclr,350,62.79618333333335,3.0448651767730253
FMNIST_raw,200,53.94806666666668,2.194154522722758
MNIST_simclr,250,90.76661666666666,7.142513443173539
FMNIST_raw,300,53.963516666666656,1.946159617197848
FMNIST_raw,250,53.83626666666666,2.120780462717387
MNIST_raw,20,71.39086666666667,3.32708015722721
MNIST_simclr,300,89.38790000000003,7.196492753227108
FMNIST_simclr,400,63.25991666666666,2.3705602175328715
MNIST_raw,10,71.9461666666667,3.0688732225918334
MNIST_simclr,350,93.42380000000004,6.092621151530089
MNIST_raw,25,71.20711666666666,2.982760811221456
MNIST_vae,450,87.72231666666669,6.568007259007644
FMNIST_simclr,450,63.01333333333332,2.6801873877065203
MNIST_simclr,200,89.32846666666666,7.198130675622981
MNIST_raw,5,73.13031666666666,3.602637592928553
MNIST_raw,15,71.26288333333333,2.9836816648121203
MNIST_raw,100,69.90275,3.575844263719076
MNIST_raw,50,71.3876,3.023592541759861
FMNIST_simclr,500,63.18973333333335,2.205361881428616
FMNIST_raw,350,53.55871666666665,1.8448319669420847
MNIST_simclr,400,96.64801666666668,0.0088942376584007
MNIST_raw,150,70.06295,4.234912208916241
FMNIST_raw,400,53.89713333333333,2.197583869661754
MNIST_simclr,500,96.51244999999996,0.9770370660579756
MNIST_simclr,450,96.45051666666672,1.2415534306488818
MNIST_raw,200,68.34081666666665,3.5808454247493526
FMNIST_raw,500,53.21348333333332,1.778362973366034
FMNIST_raw,450,53.50281666666667,1.867182674215056
MNIST_raw,250,67.74251666666666,3.970522554321674
MNIST_raw,300,66.82668333333332,3.3552023234961124
MNIST_raw,350,67.2788,3.5114449246762787
MNIST_raw,400,66.41376666666666,3.625064205631329
CIFAR_raw,10,20.218039999999995,0.4221338750738303
CIFAR_raw,5,17.67654,0.6591411525537602
CIFAR_raw,20,20.975960000000008,0.1819705781524347
CIFAR_raw,15,21.076580000000007,0.1843515076798616
MNIST_raw,450,65.12020000000001,3.609107464956217
MNIST_raw,500,65.99844999999999,3.5436292582019258
CIFAR_raw,150,20.644040000000004,0.5769658694805562
CIFAR_raw,25,20.655620000000003,0.2210751862597835
CIFAR_raw,50,21.128200000000007,0.4978563745669723
CIFAR_raw,100,20.71862,0.6180846723728248
