dataset,k,mean,std
CIFAR_vae,5,23.02108,0.2727512530871419
CIFAR_vae,10,23.95368000000001,0.3166599323047871
CIFAR_vae,15,24.675420000000013,0.6246661359591547
CIFAR_vae,25,24.41158,0.6178429923793934
CIFAR_simclr_pca,5,63.03956,1.893030397873401
CIFAR_vae,20,24.54844000000001,0.4908968152599109
CIFAR_simclr_pca,10,73.66702000000004,2.551945844949606
CIFAR_simclr_pca,15,74.24922000000001,2.956430866139546
CIFAR_simclr_pca,20,73.21126,3.220310652622498
CIFAR_simclr_pca,25,74.55055999999999,3.1527024300630164
CIFAR_vae,50,25.133999999999983,0.6025292817395145
CIFAR_simclr_pca,50,75.47792,2.69288688048925
CIFAR_simclr_pca,100,78.1335,1.799437833088855
CIFAR_vae,100,24.83440000000001,0.3787642853258264
FMNIST_vae,5,66.0407333333333,1.9096118931582884
FMNIST_vae,20,59.31443333333332,0.8181420816513458
FMNIST_vae,15,61.73751666666667,2.013316881427084
FMNIST_vae,10,62.368666666666655,1.661539622442766
CIFAR_simclr,5,66.40331999999998,2.066981114298988
CIFAR_simclr,10,73.41288,2.824662859224588
CIFAR_simclr,15,73.25496,2.770971349654497
CIFAR_simclr_pca,150,78.16138,1.3708205518792544
FMNIST_vae,25,59.68283333333336,1.0607180905238365
CIFAR_vae,150,23.67894,0.4632006747086033
CIFAR_simclr,20,76.48688,1.993120214004852
FMNIST_vae,50,58.81628333333334,1.3116451543549277
CIFAR_simclr,25,77.25163999999997,2.1384289594338752
FMNIST_simclr_pca,20,51.55065,4.005489540462466
FMNIST_simclr_pca,15,51.20041666666666,3.850655871189702
FMNIST_simclr_pca,10,51.14595000000001,3.855280047611413
FMNIST_simclr_pca,25,50.77793333333335,4.214639543615068
CIFAR_simclr_pca,250,77.37579999999998,1.7364184548964718
FMNIST_simclr_pca,5,43.12451666666666,2.764503203594161
FMNIST_vae,100,58.90084999999996,1.5369555096933205
FMNIST_simclr_pca,50,57.70324999999999,4.079233421519177
CIFAR_simclr,50,79.46787999999998,1.3572530136383194
CIFAR_simclr_pca,300,76.41382000000002,1.622304037939608
MNIST_vae,5,91.74374999999998,3.838186105436568
MNIST_vae,10,91.5484666666667,1.3511972427357355
MNIST_vae,25,95.53655000000003,0.0117952391050076
CIFAR_vae,200,24.37202,0.4847204334313325
MNIST_vae,15,94.97126666666666,1.565774140779142
FMNIST_simclr,5,37.58880000000001,1.5420273048017688
FMNIST_simclr_pca,100,56.814400000000006,0.9898210202235144
CIFAR_simclr_pca,350,76.24268,1.4254725169450504
FMNIST_vae,150,58.56664999999999,1.905754436348254
CIFAR_vae,250,24.50638,0.1580233188264611
MNIST_vae,20,95.68551666666671,1.0937827742724666
MNIST_vae,50,90.23693333333334,2.451581210814992
CIFAR_simclr_pca,450,75.89108000000003,1.9401104919071184
CIFAR_simclr_pca,400,76.05407999999998,1.7963828959013342
CIFAR_vae,300,24.60710000000001,0.2849420107582415
FMNIST_raw,10,52.30699999999997,2.5459880964382746
FMNIST_raw,15,54.15656666666668,2.488058718194807
FMNIST_vae,200,58.03728333333331,1.6960304657962642
MNIST_simclr_pca,15,62.48595,3.948964192814104
MNIST_simclr_pca,20,60.80258333333333,4.901534245106156
FMNIST_simclr_pca,150,56.714450000000014,3.0581044103260555
CIFAR_simclr,100,78.92012000000003,1.836351649165796
FMNIST_raw,5,48.7698,1.3928354087507282
FMNIST_simclr,15,52.024349999999984,4.225380636165528
MNIST_simclr_pca,10,62.74115000000003,3.630769140386874
FMNIST_simclr,10,51.68438333333334,3.935583821278586
MNIST_vae,100,85.36653333333332,6.0270148038284095
CIFAR_simclr_pca,500,76.22304000000004,0.976955835979572
MNIST_simclr_pca,25,67.56801666666665,4.710585946614041
MNIST_simclr_pca,5,45.01493333333335,2.8241890458243826
MNIST_simclr_pca,50,74.83673333333334,5.185172229589393
FMNIST_simclr,25,53.68353333333337,3.2060672812492177
FMNIST_simclr_pca,250,61.06471666666661,2.7947720358919823
FMNIST_raw,20,53.94938333333332,3.376328866333428
FMNIST_simclr_pca,200,58.71605,2.5419485426850827
CIFAR_vae,350,24.63642,0.281182825603097
FMNIST_vae,250,56.84818333333335,1.6648224324177878
CIFAR_simclr,150,78.53117999999988,2.513099275252119
MNIST_vae,150,83.45386666666671,5.982643033813203
MNIST_simclr_pca,100,77.97824999999997,5.181669866212341
CIFAR_vae,400,24.58814,0.2971860288734586
FMNIST_simclr,20,54.87198333333335,3.200005687907052
FMNIST_simclr,50,58.72718333333334,3.801609372524778
FMNIST_vae,300,55.91299999999999,1.8342201558828528
MNIST_simclr,10,77.99366666666666,3.908227163598549
FMNIST_raw,25,53.77084999999998,3.870793502602116
CIFAR_simclr,200,78.80392,1.9888184994710767
FMNIST_simclr_pca,350,60.3795666666667,2.518925198127133
FMNIST_simclr_pca,300,61.01868333333333,2.446133178093936
MNIST_simclr_pca,150,79.9993,5.239713765731993
CIFAR_simclr_pca,200,78.04180000000005,0.9560716130567468
FMNIST_simclr,100,56.67181666666664,1.5721796598978868
MNIST_simclr,15,91.54236666666664,4.946057580346518
MNIST_simclr,5,60.686916666666654,3.318120541325717
MNIST_simclr,25,88.37461666666668,4.792453458197575
